File Name,Part1_E,Part3_E,Part7_E,Part10_E,Part11_E,Pressure,Inner_Radius,Outer_Radius,inner_y1,inner_y2,inner_y3,inner_y4,inner_y5,inner_y6,inner_y7,inner_y8,inner_y9,inner_z1,inner_z2,inner_z3,inner_z4,inner_z5,inner_z6,inner_z7,inner_z8,inner_z9,outer_y1,outer_y2,outer_y3,outer_y4,outer_y5,outer_y6,outer_y7,outer_y8,outer_y9,outer_z1,outer_z2,outer_z3,outer_z4,outer_z5,outer_z6,outer_z7,outer_z8,outer_z9,innerShape_x1,innerShape_x2,innerShape_x3,innerShape_x4,innerShape_x5,innerShape_x6,innerShape_x7,innerShape_x8,innerShape_x9,innerShape_y1,innerShape_y2,innerShape_y3,innerShape_y4,innerShape_y5,innerShape_y6,innerShape_y7,innerShape_y8,innerShape_y9,outerShape_x1,outerShape_x2,outerShape_x3,outerShape_x4,outerShape_x5,outerShape_x6,outerShape_x7,outerShape_x8,outerShape_x9,outerShape_y1,outerShape_y2,outerShape_y3,outerShape_y4,outerShape_y5,outerShape_y6,outerShape_y7,outerShape_y8,outerShape_y9
Part1_E(0.0134)Part3_E(0.4591)Part11_E(0.2381),0.0134,0.4591,1,1,0.2381,0.015,1.25,1.75,1.364032057,1.366838047,1.369125889,1.374547425,1.384333839,1.397603013,1.411666908,1.422338923,1.42424127,0.002852142,0.502552126,1.002289932,1.50198166,2.001595303,2.501142875,3.000672544,3.500260755,4.000004362,-2.362540924,-2.365712232,-2.367359535,-2.373534187,-2.384930707,-2.398881096,-2.41134915,-2.418924784,-2.420818345,0.2480378,0.717076027,1.186204917,1.655240257,2.124153415,2.593009712,3.061906785,3.530912955,4.000005595,1.420447239,1.079534206,0.252492361,-0.674959895,-1.301631905,-1.304063782,-0.679641022,0.254138037,1.081894951,-0.060160745,0.833814386,1.291649739,1.133381222,0.418736732,-0.539944116,-1.261810046,-1.421303702,-0.956119514,1.90823458,1.452293059,0.336772734,-0.918082289,-1.759767838,-1.762822183,-0.924118124,0.338921318,1.456086701,-0.058606091,1.148239835,1.771836708,1.555836503,0.586998529,-0.705321886,-1.683502321,-1.901233409,-1.268645824
Part1_E(0.0134)Part3_E(0.411)Part11_E(0.1754),0.0134,0.411,1,1,0.1754,0.015,1.25,1.75,1.401620484,1.404745598,1.407364897,1.413350151,1.423804548,1.437574939,1.451764087,1.462242915,1.464162754,0.003355135,0.502994453,1.002673548,1.502299199,2.001841153,2.501318434,3.000785667,3.500319386,4.000004356,-2.39838488,-2.401756344,-2.40383077,-2.410585253,-2.422501734,-2.436695838,-2.449045715,-2.456320882,-2.45831106,0.247784766,0.716857303,1.186015497,1.655075811,2.124013964,2.592900142,3.061834192,3.530880828,4.00000483,1.440760063,1.095151104,0.257003081,-0.683304434,-1.318214052,-1.321140374,-0.688506904,0.25879428,1.098156761,-0.080169992,0.825942878,1.290692441,1.129819684,0.405181908,-0.566587828,-1.299169752,-1.461189933,-0.988807938,1.926914833,1.466537461,0.340956568,-0.92550774,-1.77478544,-1.778414175,-0.932244419,0.343311154,1.47116874,-0.078392718,1.139447192,1.769309866,1.550886884,0.573093238,-0.73119867,-1.719339574,-1.939447845,-1.300130815
Part1_E(0.0134)Part3_E(0.4525)Part11_E(0.226),0.0134,0.4525,1,1,0.226,0.015,1.25,1.75,1.369493465,1.372325694,1.374648284,1.380124253,1.389952345,1.403208455,1.417187046,1.427742572,1.42963089,0.002918612,0.502609807,1.00233863,1.502020795,2.001625064,2.501164485,3.000687623,3.500269793,4.000004298,-2.367791732,-2.370972956,-2.372676033,-2.378903059,-2.390307503,-2.404200457,-2.416556876,-2.424021832,-2.425916755,0.248010329,0.717051786,1.186181862,1.655218969,2.124135601,2.592996994,3.061899802,3.530910767,4.000005389,1.422891412,1.081476232,0.253075977,-0.676030683,-1.303638311,-1.306121829,-0.680754102,0.254732254,1.083915806,-0.063009563,0.832471375,1.29127455,1.1326425,0.416671854,-0.543595677,-1.26684218,-1.426686236,-0.960540311,1.91047612,1.4540674,0.337317564,-0.919041445,-1.761580281,-1.764694181,-0.925137195,0.339482528,1.457959337,-0.061432143,1.14677935,1.771268296,1.55492599,0.584885602,-0.708882709,-1.68834765,-1.906409957,-1.272920073
Part1_E(0.0134)Part3_E(0.3915)Part11_E(0.151),0.0134,0.3915,1,1,0.151,0.015,1.25,1.75,1.421643607,1.424920477,1.427676081,1.433851132,1.444476725,1.458284354,1.472315939,1.482533853,1.48443094,0.003643996,0.50324634,1.00288835,1.502474847,2.001977384,2.501417987,3.000852904,3.500356342,4.000004217,-2.417541901,-2.420983572,-2.423234782,-2.430171608,-2.442170654,-2.456279929,-2.468389707,-2.475403403,-2.477408437,0.247688661,0.716773078,1.185938623,1.65500676,2.123955981,2.592857069,3.061808367,3.530871037,4.000004331,1.450482108,1.102723428,0.259136984,-0.687583943,-1.326395614,-1.329568466,-0.693022718,0.260985286,1.106024533,-0.090509093,0.821582812,1.289922256,1.127666715,0.39798321,-0.580157095,-1.318104148,-1.481421662,-1.005374108,1.935840542,1.473444755,0.342934112,-0.92934307,-1.78220436,-1.786117418,-0.936398695,0.345372781,1.478460777,-0.088629537,1.134634776,1.767781824,1.548058753,0.565717693,-0.744400121,-1.737537362,-1.958870157,-1.316115544
Part1_E(0.0134)Part3_E(0.4472)Part11_E(0.2033),0.0134,0.4472,1,1,0.2033,0.015,1.25,1.75,1.378730339,1.381573939,1.383892072,1.389290814,1.398875807,1.411664027,1.424995548,1.434945308,1.436734876,0.003057085,0.502726064,1.002430123,1.502089426,2.00167626,2.50120494,3.000721729,3.50029475,4.000003893,-2.376901449,-2.380017852,-2.381764416,-2.387886611,-2.398941125,-2.412274545,-2.42400204,-2.430986038,-2.432814914,0.248019453,0.717056452,1.186173075,1.655203532,2.124124094,2.592995944,3.06190803,3.530919924,4.000004674,1.42442732,1.083033898,0.253506347,-0.677379574,-1.305354388,-1.307871421,-0.682051574,0.255127963,1.085496018,-0.067452048,0.829391929,1.28965087,1.130420986,0.412829746,-0.548650726,-1.273416532,-1.433750909,-0.966364712,1.911835023,1.455493115,0.337723694,-0.920305767,-1.763129071,-1.766273857,-0.926343038,0.339849957,1.459402307,-0.065879524,1.143582282,1.769488389,1.552557342,0.580978616,-0.713881695,-1.694772429,-1.913305289,-1.278632163
Part1_E(0.0134)Part3_E(0.4857)Part11_E(0.2359),0.0134,0.4857,1,1,0.2359,0.015,1.25,1.75,1.358732598,1.361337077,1.363394961,1.368278037,1.377093534,1.389008337,1.401573207,1.411047,1.412720881,0.002795736,0.502491055,1.002217482,1.501906235,2.001531844,2.501104901,3.000664819,3.500272581,4.000003498,-2.358138042,-2.361034009,-2.362491916,-2.368055514,-2.378348153,-2.390919889,-2.402094591,-2.408817042,-2.410500049,0.248224282,0.717230537,1.186311301,1.655315528,2.124220057,2.593078734,3.06197152,3.530953607,4.000004531,1.410004087,1.072333241,0.250389717,-0.672222095,-1.294079878,-1.296255372,-0.676445494,0.25186579,1.074334959,-0.056312856,0.832382552,1.288724881,1.130913615,0.419505382,-0.532923593,-1.250853917,-1.409721273,-0.946690361,1.898516909,1.445736628,0.334839179,-0.915784053,-1.752915793,-1.755655241,-0.92122813,0.33676915,1.449032264,-0.054914691,1.147182798,1.769643741,1.553995298,0.587869823,-0.698695848,-1.673253441,-1.890417905,-1.259786932
Part1_E(0.0134)Part3_E(0.354)Part11_E(0.1028),0.0134,0.354,1,1,0.1028,0.015,1.25,1.75,1.474530642,1.478135613,1.481092949,1.487330943,1.497683584,1.510703564,1.523475296,1.532427927,1.534148347,0.004526194,0.504008383,1.003525808,1.502990279,2.002380583,2.501722545,3.001069086,3.500480275,4.000003395,-2.46837931,-2.471861999,-2.474386416,-2.48131231,-2.492771007,-2.50582475,-2.516626042,-2.522576995,-2.524488672,0.247595073,0.716684941,1.185837836,1.654905488,2.12387458,2.592809255,3.061793627,3.530874283,4.000002792,1.472094012,1.119949705,0.263765302,-0.698253923,-1.345590845,-1.349341156,-0.704151687,0.265683172,1.123814354,-0.116596643,0.809479498,1.286905431,1.12103115,0.379086132,-0.613645333,-1.36443833,-1.530974134,-1.045918953,1.955619023,1.489160126,0.347214695,-0.939009264,-1.799645933,-1.804217051,-0.946690509,0.349774006,1.494922176,-0.114515087,1.121471915,1.763043987,1.539871655,0.546381531,-0.777074261,-1.782204572,-2.006587283,-1.35535098
Part1_E(0.0134)Part3_E(0.458)Part11_E(0.1954),0.0134,0.458,1,1,0.1954,0.015,1.25,1.75,1.378627086,1.381371727,1.383566224,1.388653333,1.397656988,1.409614173,1.422006803,1.431193593,1.432841941,0.003077427,0.502736747,1.0024271,1.502077757,2.001664974,2.501202247,3.00073057,3.50030869,4.000003368,-2.377218636,-2.380175199,-2.381828231,-2.387593925,-2.397973189,-2.410442111,-2.421342426,-2.427771981,-2.429475202,0.248123974,0.717142676,1.186230922,1.655243408,2.124159844,2.593034404,3.061945177,3.530943619,4.000004002,1.41952898,1.079790643,0.252541747,-0.676370634,-1.302001943,-1.304397443,-0.6807948,0.254066276,1.082067678,-0.066735716,0.827801457,1.287697635,1.12853435,0.412146197,-0.546490235,-1.269667993,-1.429814429,-0.963186119,1.90725642,1.452541593,0.336838405,-0.919497286,-1.760086276,-1.763078708,-0.925215911,0.338841344,1.456192759,-0.065245761,1.14214863,1.76786264,1.550947475,0.580327667,-0.711907804,-1.691343154,-1.909712646,-1.275713849
Part1_E(0.0134)Part3_E(0.4428)Part11_E(0.1723),0.0134,0.4428,1,1,0.1723,0.015,1.25,1.75,1.392188832,1.395017417,1.397277597,1.402428482,1.411432945,1.423257204,1.435370394,1.444244146,1.445852157,0.003285946,0.502917401,1.002579124,1.502200938,2.001760807,2.501273733,3.000780649,3.500337311,4.000003195,-2.390284138,-2.393255257,-2.395009561,-2.400827596,-2.411129062,-2.423372143,-2.433952843,-2.440104325,-2.441796243,0.2480821,0.71710501,1.18619282,1.65520719,2.124130094,2.593014644,3.061935908,3.530941736,4.000003578,1.425175882,1.084302342,0.253807169,-0.679068474,-1.306892169,-1.309423414,-0.68359456,0.255348193,1.086728814,-0.073659484,0.824483724,1.286735945,1.126654413,0.407080274,-0.55532127,-1.281812046,-1.442793746,-0.973841365,1.912422629,1.456658245,0.338013068,-0.921932498,-1.764517147,-1.767663366,-0.927792479,0.340045002,1.460502276,-0.072120443,1.138549519,1.766444007,1.548659101,0.575143164,-0.720528571,-1.703048893,-1.922207734,-1.286026252
Part1_E(0.0134)Part3_E(0.4677)Part11_E(0.1971),0.0134,0.4677,1,1,0.1971,0.015,1.25,1.75,1.375414171,1.378087523,1.380201916,1.385109312,1.393806903,1.40536141,1.417333383,1.426201505,1.427786887,0.003040879,0.50270169,1.002391691,1.502044605,2.001638219,2.501185196,3.000723885,3.500309145,4.00000315,-2.374340807,-2.377210904,-2.378790138,-2.384355391,-2.39439918,-2.406470944,-2.417018313,-2.423228393,-2.424869041,0.248189478,0.717197648,1.186271485,1.655274194,2.124186622,2.593059685,3.06196679,3.530956264,4.000003775,1.415648148,1.077038495,0.251738276,-0.675217146,-1.299112332,-1.301414667,-0.679490425,0.253208841,1.079185787,-0.064757036,0.827732855,1.286889956,1.127974422,0.41295956,-0.543312304,-1.264889392,-1.42474338,-0.959051198,1.903655001,1.450033968,0.336097428,-0.918509667,-1.757465837,-1.760344972,-0.924031708,0.338029932,1.453507612,-0.063321125,1.142228156,1.767332971,1.550627623,0.581186332,-0.708875994,-1.686833574,-1.904934279,-1.271794749
